date,I,S,inc,R,cases,ran_cases,index
1944-09-02,401.8,180381,43.9679,2.21922e+06,35.372,37.6589,0
1944-09-03,397.22,180468,43.4926,2.21913e+06,34.9896,34.9445,0
1944-09-04,392.72,180556,43.0259,2.21905e+06,34.6141,35.4406,0
1944-09-05,388.298,180644,42.5677,2.21897e+06,34.2455,32.6054,0
1944-09-06,383.954,180732,42.1178,2.21888e+06,33.8836,34.9823,0
1944-09-07,379.687,180821,41.6761,2.2188e+06,33.5283,32.9385,0
1944-09-08,375.494,180911,41.2426,2.21871e+06,33.1795,31.9762,0
1944-09-09,371.377,181001,40.8171,2.21863e+06,32.8371,32.2175,0
1944-09-10,367.332,181091,40.3994,2.21854e+06,32.5011,31.6981,0
1944-09-11,363.36,181181,39.9896,2.21846e+06,32.1714,30.8373,0
1944-09-12,359.46,181272,39.5874,2.21837e+06,31.8479,36.2329,0
1944-09-13,355.63,181364,39.1928,2.21828e+06,31.5304,27.9855,0
1944-09-14,351.869,181456,38.8056,2.21819e+06,31.2189,27.6931,0
1944-09-15,348.177,181548,38.4259,2.2181e+06,30.9134,33.0613,0
1944-09-16,344.553,181640,38.0533,2.21802e+06,30.6137,27.0198,0
1944-09-17,340.996,181733,37.6879,2.21793e+06,30.3197,27.6018,0
1944-09-18,337.504,181826,37.3296,2.21784e+06,30.0315,33.6156,0
1944-09-19,334.077,181920,36.9782,2.21775e+06,29.7488,29.606,0
1944-09-20,330.714,182014,36.6337,2.21766e+06,29.4716,30.258,0
1944-09-21,327.414,182108,36.2959,2.21756e+06,29.1999,28.9124,0
1944-09-22,324.176,182203,35.9648,2.21747e+06,28.9335,26.682,0
1944-09-23,321,182298,35.6402,2.21738e+06,28.6724,26.5603,0
1944-09-24,317.884,182393,35.3222,2.21729e+06,28.4165,30.0145,0
1944-09-25,314.828,182488,35.0105,2.2172e+06,28.1658,27.6482,0
1944-09-26,311.831,182584,34.7051,2.2171e+06,27.9201,29.703,0
1944-09-27,308.891,182680,34.4059,2.21701e+06,27.6794,29.2251,0
1944-09-28,306.009,182777,34.1129,2.21692e+06,27.4437,22.8579,0
1944-09-29,303.184,182873,33.8259,2.21682e+06,27.2128,25.8132,0
1944-09-30,300.413,182970,33.5448,2.21673e+06,26.9867,27.6723,0
1944-10-01,297.698,183068,33.2697,2.21663e+06,26.7653,24.4353,0
1944-10-02,295.037,183165,33.0003,2.21654e+06,26.5486,30.7624,0
1944-10-03,292.429,183263,32.7366,2.21644e+06,26.3364,26.1882,0
1944-10-04,289.874,183361,32.4786,2.21635e+06,26.1288,25.3733,0
1944-10-05,287.37,183459,32.2261,2.21625e+06,25.9257,25.9698,0
1944-10-06,284.918,183558,31.9791,2.21616e+06,25.727,21.4456,0
1944-10-07,282.516,183656,31.7375,2.21606e+06,25.5327,27.5852,0
1944-10-08,280.164,183755,31.5013,2.21596e+06,25.3426,23.7209,0
1944-10-09,277.861,183855,31.2703,2.21587e+06,25.1568,27.0431,0
1944-10-10,275.607,183954,31.0445,2.21577e+06,24.9751,25.0338,0
1944-10-11,273.4,184054,30.8238,2.21567e+06,24.7976,22.3308,0
1944-10-12,271.24,184154,30.6082,2.21558e+06,24.6241,23.2015,0
1944-10-13,269.127,184254,30.3976,2.21548e+06,24.4547,24.8914,0
1944-10-14,267.06,184354,30.1919,2.21538e+06,24.2892,27.4474,0
1944-10-15,265.037,184454,29.9911,2.21528e+06,24.1277,24.4646,0
1944-10-16,263.06,184555,29.795,2.21518e+06,23.97,22.6532,0
1944-10-17,261.126,184656,29.6037,2.21508e+06,23.8161,25.58,0
1944-10-18,259.236,184757,29.4171,2.21498e+06,23.6659,19.8334,0
1944-10-19,257.389,184858,29.2351,2.21488e+06,23.5195,25.555,0
1944-10-20,255.584,184959,29.0577,2.21478e+06,23.3768,21.1454,0
1944-10-21,253.821,185061,28.8848,2.21469e+06,23.2377,23.7222,0
1944-10-22,252.099,185163,28.7163,2.21459e+06,23.1022,24.8928,0
1944-10-23,250.417,185265,28.5523,2.21448e+06,22.9702,25.2282,0
1944-10-24,248.776,185367,28.3926,2.21438e+06,22.8417,25.4263,0
1944-10-25,247.175,185469,28.2371,2.21428e+06,22.7166,25.0791,0
1944-10-26,245.613,185571,28.0859,2.21418e+06,22.595,23.179,0
1944-10-27,244.089,185674,27.939,2.21408e+06,22.4767,22.1953,0
1944-10-28,242.603,185776,27.7961,2.21398e+06,22.3618,18.2025,0
1944-10-29,241.156,185879,27.6574,2.21388e+06,22.2502,24.6469,0
1944-10-30,239.745,185982,27.5227,2.21378e+06,22.1418,22.4134,0
1944-10-31,238.372,186085,27.392,2.21368e+06,22.0367,28.5263,0
1944-11-01,237.034,186188,27.2653,2.21357e+06,21.9348,21.0828,0
1944-11-02,235.733,186291,27.1424,2.21347e+06,21.836,23.246,0
1944-11-03,234.467,186395,27.0235,2.21337e+06,21.7403,14.6294,0
1944-11-04,233.237,186498,26.9084,2.21327e+06,21.6477,24.0461,0
1944-11-05,232.041,186602,26.7971,2.21317e+06,21.5582,21.0676,0
1944-11-06,230.879,186705,26.6896,2.21306e+06,21.4717,19.7066,0
1944-11-07,229.751,186809,26.5858,2.21296e+06,21.3881,22.7531,0
1944-11-08,228.657,186913,26.4857,2.21286e+06,21.3076,22.7488,0
1944-11-09,227.596,187017,26.3892,2.21276e+06,21.23,18.5859,0
1944-11-10,226.568,187121,26.2963,2.21265e+06,21.1553,19.976,0
